Income,RecencyInDays,WinePurchases,FruitPurchases,MeatProductPurchases,FishProductPurchases,SweetProductPurchases,NonFoodPurchases,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,CustomerLifetimeInDays,TotalFoodPurchases
58138,58,635,88,546,172,88,88,3,8,10,4,7,63,2822,1529
46344,38,11,1,6,2,1,6,2,1,1,2,5,66,2272,21
71613,26,426,49,127,111,21,42,1,8,2,10,4,55,2471,734
26646,26,11,4,20,10,3,5,2,2,0,4,6,36,2298,48
58293,94,173,43,118,46,27,15,5,5,3,6,5,39,2320,407
62513,16,520,42,98,0,42,14,2,6,4,10,6,53,2452,702
55635,34,235,65,164,50,49,27,4,7,3,7,6,49,2752,563
33454,32,76,10,56,3,1,23,2,4,0,4,8,35,2576,146
30351,19,14,0,24,3,3,2,1,3,0,2,9,46,2547,44
5648,68,28,0,6,1,1,13,1,1,0,0,20,70,2267,36
7500,59,6,16,11,11,1,16,1,2,0,3,8,44,2752,45
63033,82,194,61,480,225,112,30,1,3,4,8,2,61,2385,1072
59354,53,233,2,53,3,5,14,3,6,1,5,6,68,2385,296
17323,38,3,14,17,6,1,5,1,1,0,3,8,33,2786,41
82800,23,1006,22,115,59,68,45,1,7,6,12,3,74,2741,1270
41850,51,53,5,19,2,13,4,3,3,0,3,8,40,2711,92
37760,20,84,5,38,150,12,28,2,4,1,6,7,74,2826,289
76995,91,1012,80,498,0,16,176,2,11,4,9,5,71,2617,1606
33812,86,4,17,19,30,24,39,2,2,1,3,6,35,2762,94
37040,41,86,2,73,69,38,48,1,4,2,5,8,38,2849,268
2447,42,1,1,1725,1,1,1,15,0,28,0,1,41,2698,1729
58607,63,867,0,86,0,0,19,3,2,3,9,8,71,2712,953
65324,0,384,0,102,21,32,5,3,6,2,9,4,66,2328,539
40689,69,270,3,27,39,6,99,7,7,1,5,8,69,2627,345
18589,89,6,4,25,15,12,13,2,2,1,3,7,51,2702,62
53359,4,173,4,30,3,6,41,4,5,1,4,7,44,2557,216
38360,26,36,2,42,20,21,10,2,2,1,4,3,31,2553,121
84618,96,684,100,801,21,66,0,1,6,9,10,2,55,2378,1672
10979,34,8,4,10,2,2,4,2,3,0,3,5,31,2197,26
38620,56,112,17,44,34,22,89,1,2,5,3,3,57,2573,229
40548,31,110,0,5,2,0,3,2,2,1,4,5,50,2786,117
46610,8,96,12,96,33,22,43,6,4,1,6,6,68,2767,259
68657,4,482,34,471,119,68,22,1,3,5,9,7,74,2653,1174
49389,55,40,0,19,2,1,3,1,2,0,3,7,69,2463,62
67353,37,702,17,151,0,8,35,5,5,6,12,2,50,2339,878
23718,76,6,3,14,15,7,36,3,3,1,2,7,44,2459,45
42429,99,55,0,6,2,0,4,2,1,1,3,5,47,2297,63
48948,53,437,8,206,160,49,42,2,7,10,5,6,77,2672,860
80011,3,421,76,536,82,178,102,2,8,6,5,4,40,2585,1293
20559,88,13,1,29,3,0,7,2,2,0,3,8,35,2633,46
21994,4,9,0,6,3,1,3,1,0,0,3,5,63,2711,19
7500,19,3,1,10,3,2,12,3,2,0,3,5,45,2429,19
79941,72,123,164,266,227,30,174,1,2,4,9,1,44,2160,810
7500,24,3,18,14,15,22,50,3,3,1,3,9,24,2756,72
41728,92,13,6,15,3,5,13,1,2,0,2,10,52,2560,42
72550,39,826,50,317,50,38,38,9,5,2,12,8,66,2757,1281
65486,29,245,19,125,37,67,14,1,4,2,10,2,63,2207,493
79143,2,650,37,780,27,167,32,1,6,9,13,3,56,2846,1661
35790,54,12,6,20,30,1,3,2,2,0,3,7,43,2702,69
82582,54,510,120,550,156,40,241,1,4,9,7,1,43,2181,1376
66373,57,328,9,124,12,24,109,7,4,2,10,3,42,2541,497
82384,55,984,51,432,180,120,190,1,3,10,13,1,65,2746,1767
70287,30,295,35,482,121,120,40,1,5,5,10,3,54,2612,1053
27938,31,13,0,8,2,1,5,1,1,0,4,3,32,2221,24
55954,63,447,0,28,0,0,43,3,8,2,6,7,52,2277,475
75777,12,712,26,538,69,13,80,1,3,6,11,1,38,2519,1358
66653,18,452,18,102,16,18,6,4,4,2,12,3,45,2819,606
61823,26,523,7,134,37,14,169,4,8,2,10,7,68,2655,715
67680,8,546,0,48,0,6,6,1,7,3,8,5,69,2542,600
70666,29,398,40,367,119,122,30,1,7,4,4,4,72,2364,1046
25721,75,1,3,6,3,6,15,1,1,1,2,7,49,2563,19
32474,0,10,0,1,0,0,0,1,1,0,2,7,53,2208,11
88194,19,688,14,309,201,24,38,1,11,10,10,5,41,2261,1236
69096,4,247,49,159,7,82,109,1,5,2,10,4,62,2434,544
74854,90,856,59,487,58,29,73,7,2,5,5,5,50,2606,1489
66991,1,496,36,460,189,60,12,3,4,8,6,3,66,2815,1241
65031,29,258,107,291,84,37,86,4,10,3,13,7,61,2628,777
60631,88,565,6,65,0,6,19,5,9,2,8,7,45,2609,642
28332,58,14,10,13,4,15,9,1,2,1,4,2,68,2219,56
40246,68,2,1,6,2,1,1,1,1,0,2,6,43,2716,12
75251,34,721,111,925,97,18,18,1,7,6,5,5,48,2830,1872
75825,40,1032,105,779,137,105,51,0,5,8,9,4,44,2784,2158
26326,12,1,0,5,0,3,9,1,0,0,3,3,44,2457,9
56046,9,577,0,64,0,0,51,2,10,1,8,8,55,2702,641
29760,87,64,4,68,7,5,17,4,3,1,4,8,35,2828,148
26304,5,4,1,5,2,0,4,1,1,0,2,7,51,2530,12
23559,87,25,5,19,7,0,23,3,3,0,3,7,47,2520,56
38620,56,112,17,44,34,22,89,1,2,5,3,3,57,2573,229
81361,18,163,23,424,27,65,76,1,3,10,13,1,33,2283,702
29440,95,17,8,14,10,4,3,2,1,0,4,7,60,2481,53
36138,48,130,0,16,0,0,5,5,3,1,4,7,50,2507,146
50388,3,292,6,37,0,3,34,4,6,1,6,7,63,2191,338
79593,70,350,60,568,110,133,145,1,5,6,7,2,47,2207,1221
54178,79,135,9,39,4,0,7,1,2,2,5,2,53,2318,187
42394,69,15,2,10,0,1,4,1,1,0,3,7,48,2257,28
